logN,t
19,1.76231
18,1.97574
17,1.57265
16,2.55618
15,2.06836
14,0.608887
13,0.557739
12,0.49585
11,0.976074
19,1.92605
18,2.33022
17,1.75088
16,2.60735
15,1.73428
14,0.594604
13,0.604126
12,0.466309
11,0.487305
19,2.00794
18,2.14501
17,1.85698
16,1.72839
15,1.45999
14,0.64032
13,0.618896
12,0.48584
11,0.486816
19,2.10261
18,2.25987
17,1.85551
16,2.12419
15,1.16196
14,0.42627
13,0.36499
12,0.487061
11,0.487305
19,2.07353
18,2.25642
17,1.85248
16,2.31044
15,2.14725
14,0.593811
13,0.486938
12,0.486572
11,0
19,1.8531
18,2.1654
17,1.86891
16,2.4969
15,1.43082
14,0.619202
13,0.61377
12,0.487061
11,0.467773
19,2.06813
18,2.18713
17,1.89172
16,2.45865
15,1.61423
14,0.608826
13,0.608643
12,0.476318
11,0.47168
19,2.12334
18,2.25944
17,1.9383
16,2.41122
15,1.61285
14,0.612427
13,0.628052
12,0.487305
11,0.974121
19,2.16338
18,2.22293
17,1.78259
16,2.3902
15,1.79572
14,0.606567
13,0.608643
12,0.486816
11,0.536133
19,2.08406
18,2.23043
17,1.64201
16,2.45975
15,1.79919
14,0.596436
13,0.609375
12,0.730713
11,0.487305
19,2.17434
18,2.17265
17,1.57684
16,2.44313
15,1.39749
14,0.608704
13,0.487183
12,0.47876
11,0.467285
19,1.85715
18,2.13417
17,1.79682
16,2.41969
15,1.52362
14,0.611023
13,0.612183
12,0.72168
11,0.486816
19,1.98066
18,1.96018
17,1.69026
16,2.34361
15,1.46091
14,0.608887
13,0.734009
12,0.486816
11,0.939453
19,2.19202
18,2.3387
17,1.90274
16,2.44328
15,1.73386
14,0.423767
13,0.365234
12,0.432373
11,0.486816
19,2.00875
18,2.37416
17,1.89891
16,2.42557
15,1.80011
14,0.60675
13,0.608643
12,0.730225
11,0.657715
19,2.22611
18,2.23033
17,1.81275
16,2.45296
15,1.58261
14,0.610962
13,0.608643
12,0.487061
11,0.617188
19,2.19636
18,2.32943
17,1.87186
16,2.45189
15,1.58591
14,0.606445
13,0.608643
12,0.476074
11,0.975586
19,2.13758
18,2.20499
17,1.8524
16,2.36391
15,1.58389
14,0.608704
13,0.608887
12,0.495117
11,0.976562
19,2.19559
18,2.30403
17,1.86521
16,1.87231
15,1.12613
14,0.426208
13,0.365234
12,0.487061
11,0.549316
19,2.23158
18,2.12052
17,1.89236
16,1.55225
15,1.65961
14,0.595886
13,0.60437
12,0.730225
11,0.486328
19,2.13527
18,1.99035
17,1.60549
16,2.44243
15,1.60083
14,0.609009
13,0.757812
12,0.494873
11,0.486328
19,2.08227
18,2.30375
17,1.92871
16,2.42412
15,1.56842
14,0.606873
13,0.608643
12,0.486816
11,0.615234
19,2.03495
18,2.20935
17,1.91451
16,2.41309
15,1.70337
14,0.547852
13,0.852905
12,0.769043
11,0.47168
19,2.09882
18,2.04765
17,1.90031
16,1.96562
15,1.6026
14,0.612366
13,0.634033
12,0.486572
11,0.973633
19,1.96304
18,2.21505
17,1.52975
16,2.44395
15,1.47638
14,0.606323
13,0.608643
12,0.730957
11,0.486328
19,2.06469
18,2.26324
17,1.98186
16,2.45186
15,1.64233
14,0.606445
13,0.602661
12,0.712646
11,0.486816
19,2.16521
18,2.34459
17,1.92178
16,2.43436
15,2.00983
14,0.606567
13,0.609009
12,0.730225
11,0.487305
19,2.04343
18,2.30963
17,1.91245
16,2.44504
15,1.53729
14,0.611145
13,0.608765
12,0.447266
11,0.486816
19,1.94339
18,2.29194
17,1.96589
16,2.43979
15,1.681
14,0.606201
13,0.612915
12,0.712646
11,0.486328
19,2.15724
18,2.1622
17,1.91859
16,2.45068
15,1.76529
14,0.730774
13,0.730347
12,0.487061
11,0.973633
19,1.92129
18,2.0113
17,1.56661
16,2.45169
15,1.67285
14,0.606323
13,0.608521
12,0.730225
11,0.487305
19,2.19216
18,2.31553
17,1.83844
16,2.51945
15,1.61304
14,0.547791
13,0.613159
12,0.486572
11,0.492676
19,2.0565
18,2.30246
17,1.80337
16,2.43539
15,1.68405
14,0.606323
13,0.608643
12,0.486816
11,0.585449
19,1.75648
18,1.86917
17,1.25523
16,2.38921
15,1.61313
14,0.610718
13,0.583618
12,0.486084
11,0.483398
19,2.12578
18,1.85676
17,1.79939
16,2.41916
15,1.65637
14,0.545654
13,0.596558
12,0.730469
11,0.622559
19,1.88858
18,2.24432
17,1.79034
16,2.35931
15,1.74246
14,0.607666
13,0.686768
12,0.730713
11,0.486816
19,2.05419
18,2.38048
17,1.94372
16,1.72327
15,1.46954
14,0.606873
13,0.851685
12,0.61084
11,1.00146
19,2.22236
18,2.32226
17,1.95224
16,2.45065
15,1.67551
14,0.608765
13,0.609009
12,0.487061
11,0.486816
19,2.15908
18,2.08179
17,1.95689
16,2.45982
15,1.70575
14,0.535095
13,0.731323
12,0.486572
11,0.524414
19,2.10052
18,2.29174
17,1.92505
16,2.62558
15,1.61325
14,0.669739
13,0.517334
12,0.730469
11,0.463867
19,1.77338
18,2.36429
17,1.83146
16,2.1501
15,1.33914
14,0.667419
13,0.608643
12,0.477539
11,0.991699
19,2.17759
18,2.31462
17,1.94354
16,2.53622
15,1.64377
14,0.608398
13,0.729736
12,0.487549
11,0.976074
19,2.208
18,2.20516
17,1.6055
16,2.43852
15,1.64252
14,0.73053
13,0.609131
12,0.730469
11,0.486816
19,1.91518
18,2.36638
17,1.90659
16,2.43799
15,1.64252
14,0.608704
13,0.609009
12,0.694092
11,0.486816
19,1.93112
18,1.89614
17,1.66092
16,1.91722
15,1.26892
14,0.545105
13,0.365112
12,0.486328
11,0.622559
19,1.67584
18,1.78466
17,1.39234
16,1.75005
15,1.20078
14,0.487061
13,0.487061
12,0.474854
11,0.487305
19,1.66122
18,1.97916
17,1.84055
16,2.13934
15,1.18704
14,0.366943
13,0.48645
12,0.487305
11,0
19,1.63968
18,1.9521
17,2.0676
16,2.3515
15,1.84946
14,0.561096
13,0.74939
12,0.486816
11,0.487305
19,1.60999
18,1.85005
17,1.41426
16,1.77309
15,1.15649
14,0.365173
13,0.479614
12,0.487061
11,0.442871
19,1.7749
18,2.21351
17,2.17336
16,2.83618
15,1.49133
14,0.486877
13,0.609009
12,0.486572
11,0.525879
19,1.97972
18,2.36755
17,1.82166
16,2.29097
15,1.83093
14,0.730469
13,0.608643
12,0.730225
11,0.487305
19,2.13567
18,1.89787
17,1.32907
16,1.61954
15,1.15048
14,0.55249
13,0.365356
12,0.243652
11,0.893555
19,1.766
18,1.62356
17,1.36437
16,1.96622
15,2.04218
14,0.716736
13,0.768555
12,0.730469
11,0.471191
19,1.95997
18,1.94487
17,1.30187
16,2.01767
15,1.40005
14,0.547607
13,0.491699
12,0.676514
11,0.486816
19,1.79756
18,1.64038
17,1.30995
16,1.69772
15,1.2467
14,0.421387
13,0.469604
12,0.487061
11,0.486816
19,1.99909
18,2.5667
17,1.35503
16,1.49178
15,1.07242
14,0.727722
13,0.973877
12,0.974121
11,3.40918
19,1.51073
18,1.54071
17,1.33384
16,1.66374
15,1.13797
14,0.454651
13,0.401367
12,0.487061
11,0.569824
19,1.46591
18,1.73102
17,1.28535
16,1.75073
15,1.04202
14,0.496643
13,0.487061
12,0.710938
11,0.487305
19,1.34919
18,1.47929
17,1.37633
16,1.72134
15,1.1666
14,0.481934
13,0.36499
12,0.243652
11,0.486328
19,1.5261
18,1.67431
17,1.28633
16,1.73526
15,1.1261
14,0.365295
13,0.365112
12,0.487061
11,0.486816
19,1.54144
18,1.65293
17,1.35382
16,1.72333
15,1.15768
14,0.426025
13,0.477051
12,0.486816
11,0.992188
19,1.52439
18,1.7073
17,1.33237
16,1.66835
15,1.18372
14,0.425171
13,0.365356
12,0.487061
11,0
19,1.5651
18,1.66066
17,1.24172
16,1.88014
15,1.12628
14,0.428528
13,0.369995
12,0.29541
11,0
19,1.58787
18,1.57928
17,1.29755
16,1.91844
15,1.09567
14,0.426208
13,0.365356
12,0.243408
11,0.486816
19,1.50943
18,1.60594
17,1.30328
16,1.7581
15,1.24783
14,0.365295
13,0.365234
12,0.227783
11,0.486816
19,1.49575
18,1.60297
17,1.28819
16,1.70444
15,1.10657
14,0.365051
13,0.487061
12,0.487061
11,0.486816
19,1.48423
18,1.64391
17,1.31487
16,1.82614
15,1.09567
14,0.426025
13,0.487061
12,0.243652
11,0.486816
19,1.39432
18,1.45387
17,1.14854
16,1.5218
15,1.00455
14,0.426331
13,0.388916
12,0.487061
11,0.487305
19,1.429
18,1.48309
17,1.25953
16,1.59105
15,1.00568
14,0.365417
13,0.494141
12,0.487305
11,0.486328
19,1.50748
18,1.60629
17,1.32845
16,1.68956
15,1.09753
14,0.365173
13,0.36499
12,0.43042
11,0.509277
19,1.54174
18,1.61858
17,1.33187
16,1.68997
15,1.00433
14,0.365173
13,0.383667
12,0.487549
11,0.416992
19,1.50454
18,1.59865
17,1.33554
16,1.76727
15,1.18042
14,0.365173
13,0.547119
12,0.486816
11,0.486816
19,1.56363
18,1.64125
17,1.35078
16,1.89989
15,1.37289
14,0.426086
13,0.471924
12,0.290283
11,0.486816
19,1.82943
18,2.05228
17,1.89375
16,2.41777
15,1.8566
14,0.606628
13,0.365234
12,0.443604
11,0.487305
19,1.72284
18,1.81503
17,1.51404
16,1.75319
15,1.24789
14,0.365295
13,0.505371
12,0.487061
11,0.404297
19,1.59845
18,1.61769
17,1.382
16,1.81134
15,1.15665
14,0.550293
13,0.365234
12,0.248779
11,0.486816
19,1.65784
18,1.77794
17,1.42307
16,1.91748
15,1.21744
14,0.487
13,0.376831
12,0.486816
11,0.487305
19,1.60576
18,1.70887
17,1.43133
16,1.70447
15,1.21744
14,0.414307
13,0.36499
12,0.730469
11,0.449219
19,1.56073
18,1.69043
17,1.58317
16,3.5092
15,1.90997
14,0.602722
13,0.487061
12,0.487061
11,0.486816
19,1.87173
18,2.1945
17,1.9707
16,1.66721
15,1.27951
14,0.547852
13,0.608887
12,0.487305
11,0.973145
19,2.06546
18,1.83759
17,1.64828
16,2.29128
15,1.1579
14,0.4328
13,0.487061
12,0.484131
11,0.239258
19,2.17835
18,1.63367
17,1.95525
16,2.42433
15,1.67285
14,0.552368
13,0.623901
12,0.487061
11,0.973145
19,2.0796
18,2.18947
17,1.91237
16,2.48999
15,1.66046
14,0.608887
13,0.585815
12,0.71582
11,0.487305
19,2.14763
18,2.05424
17,1.27382
16,1.62878
15,1.06573
14,0.426086
13,0.365356
12,0.243408
11,0.48584
19,2.30034
18,2.48982
17,1.84651
16,2.40233
15,1.49115
14,0.365112
13,0.370117
12,0.486816
11,0.61377
19,2.25684
18,2.35055
17,1.53038
16,2.5117
15,1.67294
14,0.597961
13,0.612549
12,0.486816
11,0.972656
19,2.20988
18,2.12333
17,1.90197
16,2.57187
15,1.64349
14,0.608704
13,0.599976
12,0.478027
11,0.616211
19,2.10372
18,2.36557
17,1.79346
16,2.47746
15,1.68118
14,0.608948
13,0.608521
12,0.729736
11,0.486816
19,1.98003
18,1.83815
17,1.35126
16,2.10899
15,1.49246
14,0.61084
13,0.519775
12,0.487061
11,0.974121
19,2.08877
18,2.07281
17,1.97489
16,2.48303
15,1.64481
14,0.608765
13,0.576538
12,0.486816
11,0.486816
19,2.03531
18,2.36735
17,1.94778
16,2.12215
15,1.09561
14,0.37439
13,0.365234
12,0.486816
11,0.486816
19,2.19475
18,2.33034
17,1.42476
16,2.50409
15,1.67404
14,0.552185
13,0.487061
12,0.73877
11,0.488281
19,2.22038
18,2.33392
17,1.9493
16,2.60335
15,1.33801
14,0.545349
13,0.608398
12,0.486572
11,0.487305
19,2.02149
18,2.33669
17,1.92558
16,2.48308
15,1.67548
14,0.671387
13,0.487793
12,0.486816
11,0.486816
19,2.11985
18,2.16887
17,1.96634
16,1.96761
15,1.64566
14,0.547913
13,0.714844
12,0.486816
11,0.442383
19,2.19557
18,2.25317
17,2.00537
16,2.02394
15,1.61197
14,0.608643
13,0.608765
12,0.487061
11,0.486816
19,2.17595
18,1.99027
17,1.56747
16,1.78052
15,1.70566
14,0.590759
13,0.623291
12,0.738525
11,0.486816
19,2.0763
18,1.97611
17,1.94048
16,2.5088
15,1.14325
14,0.426025
13,0.483032
12,0.486816
11,0.304688
19,2.14023
18,2.07985
17,1.89901
16,2.55542
15,1.14188
14,0.385376
13,0.365234
12,0.5
11,0
