logN,t
19,1.5954
18,1.1669
17,1.3858
16,1.46101
15,1.34039
14,0.487
13,0.550049
12,0.721436
11,0.485352
19,1.53411
18,1.48599
17,1.42358
16,1.80379
15,1.15817
14,0.501343
13,0.486694
12,0.507324
11,0.487305
19,1.49791
18,1.40081
17,1.32624
16,0.821671
15,0.852417
14,0.549805
13,0.487305
12,0.509521
11,0.444824
19,1.46118
18,1.36842
17,1.18031
16,1.38669
15,0.729034
14,0.365173
13,0.243408
12,0.243652
11,0.486816
19,1.48441
18,1.51431
17,1.46246
16,1.37184
15,1.37097
14,0.547607
13,0.39502
12,0.487793
11,0
19,1.54429
18,1.42101
17,1.47015
16,1.43063
15,1.13373
14,0.423218
13,0.510986
12,0.243652
11,0.506836
19,1.48247
18,1.56448
17,1.45671
16,1.41078
15,1.05255
14,0.487061
13,0.482422
12,0.506592
11,0.501465
19,1.57496
18,1.52514
17,1.43812
16,1.4012
15,1.06519
14,0.485168
13,0.479858
12,0.44751
11,0.486816
19,1.58193
18,1.30275
17,1.48412
16,1.30685
15,1.24988
14,0.489258
13,0.487183
12,0.487061
11,0.486816
19,1.61163
18,1.5488
17,1.45062
16,1.28723
15,1.21735
14,0.501343
13,0.482666
12,0.48584
11,0.486816
19,1.5606
18,1.53705
17,1.06617
16,1.34056
15,1.18842
14,0.55304
13,0.612671
12,0.730957
11,0.522949
19,1.4346
18,1.55701
17,0.996071
16,1.40002
15,1.1871
14,0.483154
13,0.365601
12,0.479492
11,0.487305
19,1.59056
18,1.55479
17,1.48056
16,1.04955
15,1.24792
14,0.306519
13,0.36084
12,0.487061
11,0.507324
19,1.4751
18,1.58896
17,1.18217
16,1.51598
15,1.27933
14,0.428467
13,0.365234
12,0.297852
11,0
19,1.47416
18,1.48609
17,1.50706
16,1.52126
15,1.33917
14,0.480286
13,0.491821
12,0.486572
11,0.487793
19,1.60988
18,1.59446
17,1.53051
16,1.44991
15,1.16241
14,0.487
13,0.604126
12,0.487061
11,0.487305
19,1.4099
18,1.52052
17,1.49167
16,1.41653
15,1.21497
14,0.482727
13,0.491089
12,0.497803
11,0.486816
19,1.56631
18,1.56474
17,1.52209
16,1.49362
15,1.21732
14,0.484741
13,0.486938
12,0.486816
11,0.48877
19,1.54044
18,1.60876
17,1.46578
16,1.47615
15,0.881561
14,0.304382
13,0.24353
12,0.243408
11,0
19,1.56813
18,1.62016
17,1.51057
16,1.30873
15,0.792175
14,0.44104
13,0.487061
12,0.244141
11,0.486328
19,1.51216
18,1.55825
17,1.52181
16,1.17227
15,1.21848
14,0.487183
13,0.486572
12,0.666504
11,0.473145
19,1.59446
18,1.58129
17,1.52628
16,1.41647
15,1.09683
14,0.549866
13,0.486694
12,0.487305
11,0.487305
19,1.40323
18,1.25017
17,1.53376
16,1.4848
15,1.21854
14,0.608826
13,0.608398
12,0.487793
11,0.420898
19,1.49386
18,1.40831
17,1.53828
16,1.59874
15,1.21634
14,0.423767
13,0.479736
12,0.688965
11,0.48584
19,1.64706
18,1.63937
17,1.52217
16,1.47556
15,1.00443
14,0.464355
13,0.486694
12,0.487061
11,0.0820312
19,1.29679
18,1.60601
17,1.55729
16,1.47668
15,1.24457
14,0.489197
13,0.493042
12,0.504883
11,0.487305
19,1.57299
