logN,t
10,1.94336
11,1.94775
12,2.18335
13,2.43909
14,2.49377
15,2.56174
16,2.67776
17,2.56539
18,2.82111
10,1.94434
11,1.94775
12,2.43481
13,2.4353
14,2.13055
15,1.79688
16,2.55664
17,2.71999
18,2.77537
10,1.94824
11,2.43555
12,2.4353
13,2.31311
14,2.51611
15,2.54517
16,2.69492
17,2.81475
18,2.00676
10,2.88574
11,2.43457
12,2.19189
13,2.43054
14,2.40979
15,2.52567
16,2.69354
17,2.68452
18,2.24683
10,1.82031
11,1.46094
12,1.71265
13,1.70044
14,1.8869
15,2.1315
16,2.59389
17,1.98322
18,2.10528
10,0.84082
11,1.46191
12,1.21704
13,1.46118
14,1.58252
15,1.88705
16,2.68283
17,2.14731
18,2.12173
10,1.98926
11,1.94629
12,2.19946
13,2.30432
14,2.43732
15,2.58905
16,2.67679
17,2.1993
18,2.2831
10,1.94727
11,2.54492
12,2.20532
13,2.30835
14,2.49591
15,2.37509
16,2.57626
17,2.18963
18,2.31201
10,1.94922
11,1.94727
12,2.43433
13,2.31335
14,2.61743
15,2.63028
16,2.4709
17,2.19328
18,1.91199
10,2.22559
11,2.31396
12,2.42627
13,2.5564
14,2.49579
15,1.67841
16,1.60678
17,2.07449
18,2.35056
10,1.94824
11,1.98438
12,2.19116
13,2.31311
14,2.62341
15,2.54462
16,2.28329
17,2.18032
18,2.32938
10,1.94922
11,1.94922
12,2.43408
13,2.31323
14,2.44318
15,2.55661
16,2.28517
17,2.18224
18,2.2389
10,1.94727
11,1.97852
12,2.18408
13,2.3092
14,2.50415
15,2.53021
16,2.14223
17,2.18165
18,2.32889
10,2.90625
11,1.94775
12,2.42773
13,2.31323
14,2.48694
15,2.58969
16,2.29845
17,1.9737
18,2.34477
10,1.94824
11,0.973633
12,1.2395
13,1.69666
14,1.94812
15,2.52637
16,2.09346
17,2.26063
18,2.21357
10,2.92188
11,1.94775
12,2.19946
13,2.43445
14,2.71234
15,2.48349
16,2.11528
17,2.34161
18,2.36648
10,1.98535
11,2.41748
12,2.3645
13,2.35791
14,2.43213
15,2.46429
16,2.21066
17,2.05235
18,2.28769
10,1.94434
11,2.43652
12,2.19116
13,2.19116
14,1.76526
15,1.46182
16,1.78287
17,2.24757
18,2.26092
10,2.95215
11,1.93018
12,2.20312
13,2.43787
14,2.49213
15,2.34698
16,2.00327
17,2.23431
18,2.0622
10,0.972656
11,1.4585
12,1.20996
13,1.58691
14,2.13074
15,2.25439
16,2.12895
17,2.2116
18,2.26677
10,1.94434
11,2.4165
12,1.95654
13,2.43494
14,2.39417
15,2.25122
16,2.2317
17,2.05569
18,2.26977
10,1.94824
11,2.52783
12,2.63135
13,2.31812
14,2.43488
15,2.23468
16,2.14578
17,2.20109
18,2.28449
10,1.94727
11,1.94824
12,2.4436
13,2.3092
14,2.47284
15,1.76428
16,1.49519
17,2.06559
18,2.25825
10,2.05957
11,2.39502
12,2.25
13,2.31323
14,2.61603
15,2.16284
16,1.47618
17,2.15256
18,2.33945
10,1.94824
11,1.94922
12,2.42603
13,2.31323
14,2.53479
15,2.12875
16,1.88278
17,1.97914
18,1.99374
10,1.94727
11,1.94824
12,2.43481
13,2.31689
14,2.37195
15,2.14072
16,2.11995
17,2.12574
18,2.30558
10,1.9502
11,2.43506
12,2.20044
13,3.28223
14,2.49786
15,2.1904
16,2.2009
17,2.28298
18,1.98686
10,1.94727
11,1.94824
12,2.43481
13,2.31738
14,2.61719
15,2.11783
16,2.17676
17,2.30571
18,2.41541
10,1.95117
11,1.94727
12,2.20044
13,2.18665
14,2.37421
15,2.1001
16,2.11533
17,2.19991
18,2.11013
10,1.9502
11,2.4165
12,2.2002
13,2.31665
14,2.56891
15,2.10013
16,2.17403
17,2.25515
18,2.3219
10,1.92578
11,1.94727
12,2.19971
13,2.43042
14,2.49829
15,2.06842
16,1.90228
17,1.69682
18,2.37117
10,1.99512
11,1.93945
12,2.427
13,2.43921
14,2.36957
15,1.59488
16,1.46991
17,1.70984
18,2.3679
10,2.16016
11,2.34668
12,2.18262
13,2.31812
14,2.37195
15,2.13477
16,2.07587
17,2.03428
18,2.18395
10,1.94824
11,1.94775
12,1.94824
13,2.19128
14,2.31537
15,2.13818
16,2.02684
17,2.26748
18,2.35875
10,1.94824
11,1.96289
12,2.42749
13,2.31738
14,2.61548
15,2.10107
16,2.17624
17,2.21876
18,2.26467
10,1.77539
11,2.41699
12,2.43555
13,2.3175
14,2.29468
15,2.07062
16,2.23093
17,2.25047
18,1.98326
10,1.94824
11,1.96436
12,2.19214
13,2.33154
14,2.30408
15,2.09897
16,2.23763
17,2.2979
18,2.16439
10,1.94727
11,1.94824
12,2.20093
13,2.43018
14,2.26886
15,2.13065
16,2.28891
17,2.17601
18,2.28103
10,1.93652
11,2.44824
12,2.18457
13,2.55652
14,1.58423
15,1.6813
16,2.15013
17,2.29307
18,2.08684
10,1.9502
11,2.41699
12,2.21411
13,2.31738
14,2.33032
15,2.07156
16,2.28439
17,2.19936
18,2.20347
10,2.18164
11,2.35107
12,2.1748
13,2.33496
14,2.18896
15,2.03909
16,2.16188
17,2.0097
18,2.13155
10,1.94727
11,1.94775
12,2.43408
13,2.31787
14,2.98041
15,2.0697
16,2.17809
17,2.14124
18,2.04818
10,3.25488
11,2.25244
12,2.2002
13,2.55188
14,2.13678
15,2.05554
16,2.2148
17,2.1893
18,2.30694
10,3.15137
11,1.94824
12,1.99829
13,1.5824
14,1.40228
15,1.64362
16,2.3284
17,2.17496
18,2.1392
10,2.78613
11,1.98389
12,2.18237
13,2.43042
14,2.13269
15,2.13055
16,2.33261
17,2.2387
18,2.14912
10,1.9502
11,1.94678
12,1.46094
13,1.93311
14,1.88702
15,1.7045
16,1.68971
17,1.75287
18,1.93462
10,1.94824
11,1.46045
12,1.98145
13,1.80957
14,2.03674
15,1.80151
16,1.64206
17,1.63045
